objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroRad_r
588015508192886875,353.73080874,-0.75334928,20.504255,18.520267,17.383326,16.910509,16.469229,3325,41,2,66,5.120368
588015507654181009,349.57400671,-1.15164664,19.169987,17.014933,15.956668,15.45168,15.036626,3325,41,1,38,8.235
588015508192886877,353.73603515,-0.83674968,20.138405,18.142263,17.122915,16.677561,16.307947,3325,41,2,66,4.287925
588015508192886878,353.73835616,-0.65006288,19.837305,17.737652,16.7544,16.322868,15.96173,3325,41,2,66,3.802011
588015508192887037,353.68758319,-0.67300632,18.47438,17.140776,16.541279,16.196079,15.991349,3325,41,2,66,12.769132
588015508192952454,353.93144426,-0.6945098,19.456274,17.444756,16.455069,16.004782,15.622505,3325,41,2,67,4.4544
588015508193083397,354.13997261,-0.76528608,18.71559,17.634907,17.007896,16.628464,16.349045,3325,41,2,69,4.38634
588015508193083560,354.16432121,-0.80803834,21.791891,19.112242,17.600689,17.082375,16.648382,3325,41,2,69,4.638816
588015507654246573,349.74357194,-1.0831163,19.059782,17.589771,16.946943,16.608011,16.335604,3325,41,1,39,4.17096
588015508193083562,354.19320546,-0.6735849,19.937853,18.577251,17.5879,17.155869,16.788261,3325,41,2,69,5.276527
588015508193214489,354.44723858,-0.64612952,18.239246,16.823185,16.334904,16.133055,16.095537,3325,41,2,71,11.395172
588015508194918497,358.37917345,-0.74015189,17.264219,15.430335,14.532694,14.061706,13.663022,3325,41,2,97,6.939067
588015508194918583,358.44738305,-0.72864376,19.40015,18.210632,17.458574,17.104021,16.887972,3325,41,2,97,7.266799
588015507656081493,353.86139376,-1.17063518,19.871618,17.849977,16.759438,16.290604,15.900624,3325,41,1,67,6.376883
588015507656081521,353.96302475,-1.12638777,19.710089,17.76325,16.741011,16.260178,15.907418,3325,41,1,67,5.396832
588015507657982093,358.21286909,-1.05418954,19.014153,17.872316,17.252806,16.90538,16.74032,3325,41,1,96,7.237064
588015507653525726,348.08767755,-1.09514149,18.31584,16.653528,16.145094,15.938437,15.665238,3325,41,1,28,22.621828
588015508190855266,349.08388607,-0.73256397,19.163734,18.046745,17.611563,17.378387,17.171865,3325,41,2,35,6.382519
588015508190855305,349.1535156,-0.70804687,19.137899,18.257156,17.877125,17.609016,17.46789,3325,41,2,35,4.72137
588015508191445116,350.50182741,-0.79697264,19.503233,18.228157,17.610395,17.187098,16.869055,3325,41,2,44,2.958215
588015508191772752,351.16223507,-0.71792397,18.573307,17.548063,16.861923,16.44305,16.193476,3325,41,2,49,6.191655
588015508191772769,351.2117188,-0.6400849,20.624626,18.633141,17.602337,17.150328,16.776955,3325,41,2,49,3.664789
588015508191772772,351.2293767,-0.72024073,18.926458,17.432877,16.733301,16.34437,16.006546,3325,41,2,49,5.560567
588015508191772803,351.13942308,-0.73068624,19.870232,18.004347,17.025242,16.451958,15.999506,3325,41,2,49,7.929475
588015508192035092,351.79649579,-0.80149546,20.544506,18.705395,17.592249,17.044798,16.554651,3325,41,2,53,5.598803
588015508192035099,351.8265385,-0.82877706,18.710808,17.766693,17.417843,17.175426,17.075514,3325,41,2,53,9.372587
588015508192493702,352.84866835,-0.78143484,19.238297,18.068649,17.634298,17.3347,17.190605,3325,41,2,60,6.731137
588015508194328677,357.02436376,-0.82268224,20.67827,18.424469,17.1429,16.6294,16.254913,3325,41,2,88,4.63647
588015508193017970,354.01982588,-0.72510319,19.327852,17.840252,17.107658,16.694115,16.374584,3325,41,2,68,6.117775
588015508193017981,354.04564535,-0.81697462,19.427891,17.92304,17.063843,16.620544,16.323286,3325,41,2,68,6.214373
588015508193018030,353.98433484,-0.79967804,19.128185,18.001303,17.575554,17.319681,17.22641,3325,41,2,68,6.01457
588015508194328717,357.01076667,-0.72688388,19.635921,18.28034,17.333376,16.904369,16.57316,3325,41,2,88,8.288361
588015508190724270,348.88279044,-0.70464757,18.905907,17.837826,17.249565,16.967571,16.709164,3325,41,2,33,5.031563
588015508191445089,350.4659194,-0.69077082,16.294149,14.896723,14.285334,13.941679,13.724413,3325,41,2,44,19.068041
588015508191969375,351.5783286,-0.83163153,20.46764,18.657856,17.612803,17.17494,16.810905,3325,41,2,52,3.645393
588015508194918437,358.40221694,-0.70689655,19.570444,18.07583,17.19063,16.737309,16.466005,3325,41,2,97,3.533876
588015507657654295,357.46563203,-1.22772038,19.810406,18.007954,16.968952,16.51404,16.156418,3325,41,1,91,4.727786
588015507658506244,359.36443817,-1.1314674,17.763639,15.921372,15.103713,14.706897,14.38767,3325,41,1,104,4.859825
588015508192297126,352.45618219,-0.80151625,20.952923,18.966383,17.783699,17.319181,16.8885,3325,41,2,57,3.424656
588015508192297148,352.34873262,-0.81546227,26.169001,18.810095,17.176155,16.530069,16.169725,3325,41,2,57,10.619599
588015507654180937,349.62720196,-1.18777892,20.318201,18.424978,17.314487,16.777517,16.457335,3325,41,1,38,4.278001
588015508193214592,354.46612545,-0.63397997,18.97934,16.959396,15.993273,15.546101,15.166789,3325,41,2,71,7.887734
588015508193280105,354.59521314,-0.73208956,20.290577,18.090548,17.011494,16.498371,16.040306,3325,41,2,72,5.85233
588015508193280125,354.63188034,-0.67724467,19.733212,18.246458,17.499746,17.061605,16.740265,3325,41,2,72,4.7613
588015508191969389,351.59090107,-0.77116036,18.645557,17.36245,16.743355,16.344696,16.077452,3325,41,2,52,6.129417
588015508191969391,351.59847738,-0.6429644,19.869804,17.779629,16.809418,16.414738,16.016504,3325,41,2,52,5.134144
588015508191969394,351.60842835,-0.65546215,19.391329,17.492567,16.530058,16.099672,15.750337,3325,41,2,52,6.677138
588015508191969403,351.62108008,-0.68819805,19.595726,17.965433,17.135529,16.720604,16.395351,3325,41,2,52,5.562521
588015508192624827,353.18320214,-0.74826734,19.816975,17.856199,16.948408,16.531651,16.199526,3325,41,2,62,3.351937
588015508192624828,353.18881465,-0.65194295,18.165041,17.313396,17.203274,17.073627,16.992256,3325,41,2,62,5.127425
588015507658047575,358.39145868,-1.07494258,18.52664,17.157709,16.376259,15.988145,15.704529,3325,41,1,97,9.038105
588015508727660667,348.99114787,-0.32885829,19.692686,18.39469,17.532671,17.097265,16.805656,3325,41,3,34,4.185332
588015508191707256,351.11827989,-0.809651,18.857592,16.794039,15.884199,15.470102,15.111661,3325,41,2,48,7.852418
587731187272908985,349.23162065,0.73818306,19.412687,17.87093,17.149992,16.735229,16.467278,2662,40,5,210,5.238046
588015508192624839,353.22421789,-0.72905958,18.595707,17.119291,16.324387,15.919304,15.628563,3325,41,2,62,9.51876
588015508192690290,353.29879349,-0.67724163,19.932772,18.239452,17.281483,16.816032,16.434692,3325,41,2,63,4.531288
588015508192886899,353.79013611,-0.76821889,19.186035,18.211975,17.681414,17.306139,17.083439,3325,41,2,66,5.868598
588015508192886922,353.69567095,-0.76995991,19.825081,18.5343,17.672531,17.248562,16.921804,3325,41,2,66,6.303847
588015507655229527,352.00055921,-1.06032445,20.204056,18.57823,17.569807,17.12681,16.783583,3325,41,1,54,3.330245
588015508193804308,355.81040857,-0.67081437,19.372849,17.910643,17.090378,16.627428,16.401083,3325,41,2,80,4.565662
588015507656015952,353.71057627,-1.20486416,16.885586,15.607615,14.976722,14.586217,14.314827,3325,41,1,66,11.066821
588015507656015974,353.75179043,-1.04975943,20.645475,18.531591,17.214651,16.691351,16.889036,3325,41,1,66,12.943475
588015507657261306,356.65405452,-1.06694239,19.334066,17.984173,17.404486,17.15447,17.065554,3325,41,1,85,10.286515
588015507653591230,348.24383128,-1.1321487,19.322868,17.882196,17.164351,16.731377,16.417612,3325,41,1,29,3.054615
588015507653984396,349.06079561,-1.09836471,19.046446,17.25087,16.283247,15.8216,15.48436,3325,41,1,35,7.212997
588015507653984397,349.06219085,-1.13698666,19.835386,17.898756,16.966969,16.549801,16.24655,3325,41,1,35,3.324928
588015507653984468,349.11821439,-1.19943666,19.435019,18.074461,17.217863,16.774797,16.438906,3325,41,1,35,6.014314
588015508731854987,358.51780509,-0.30170597,20.62948,18.871613,17.522562,16.949007,16.562805,3325,41,3,98,5.616529
588015508728643643,351.21055791,-0.30699741,18.878401,17.435427,16.605856,16.1674,15.85001,3325,41,3,49,4.361241
588015508730609819,355.65671964,-0.26953498,19.109032,18.177486,17.503155,17.109621,16.807659,3325,41,3,79,4.45198
588015508728643705,351.15881209,-0.21504582,19.642929,17.745831,16.720076,16.253397,15.888547,3325,41,3,49,5.370809
588015508730609848,355.7356333,-0.23235649,19.267057,17.402662,16.484257,16.08256,15.741281,3325,41,3,79,3.408629
588015508192624904,353.14929481,-0.73723726,18.500441,17.40126,16.971424,16.795135,16.740774,3325,41,2,62,12.593733
588015509263483048,346.60240432,0.16149768,18.367657,16.460939,15.565393,15.072634,14.690572,3325,41,4,18,8.018749
588015508193804446,355.85093321,-0.80128586,19.827084,18.076628,16.958752,16.477966,16.102379,3325,41,2,80,4.589614
588015509264466044,348.73648706,0.03465478,20.564407,18.573383,17.407375,16.929041,16.565752,3325,41,4,33,4.156724
588015509264924833,349.90911427,0.11086276,21.568047,18.934658,17.681013,17.158909,16.794077,3325,41,4,40,4.953476
588015507655819343,353.24399045,-1.16082379,19.846087,18.136486,17.142889,16.6724,16.288647,3325,41,1,63,4.565322
588015508194525293,357.49059632,-0.64861262,18.811037,17.739948,17.32847,17.095818,16.987194,3325,41,2,91,4.906409
588015507655819494,353.35474038,-1.22333842,19.771444,18.290197,17.518166,17.145245,16.877884,3325,41,1,63,6.187909
587731187810893973,351.64428028,1.11560129,18.877428,17.447567,16.851509,16.474554,16.23101,2662,40,6,227,6.421888
587731187810893999,351.72475772,1.05562209,19.432842,18.247313,17.490921,17.035976,16.734081,2662,40,6,227,3.757281
